"source : Amiotte Suchet A. (2025). ""L' ""article 8"" : un dispositif oublié de garantie publique pour le financement des PME"". Revue d'économie financière. n° 157. pp. 233-241.";;
;garantie_article_8 (MF);encours_crédits_SNF (MF)
1960;0.696;66.44
1961;0.884;77.01
1962;1.144;90.07
1963;1.444;98.41
1964;1.761;115.71
1965;2.023;130.21
1966;2.196;148.31
1967;2.391;171.98
1968;2.621;165.16
1969;3.188;188.89
1970;3.509;216.51
1971;4.111;264.25
1972;4.826;278.26
1973;5.122;292.08
1974;6.057;345.92
1975;na;390.09
1976;na;444.32
1977;na;732.9
1978;na;800.8
1979;na;866.8
1980;18.4;957.1
1981;20.106;1078.1
1982;23.27;1227.4
1983;27.02;1366.4
1984;18.385;1589.4
1985;17.36;1724.1
1986;16.984;1776.8
1987;12.076;1936.6
1988;10.842;2161.1
1989;9.169;2507.2
1990;8.065;2883.4
1991;8.004;3102.4
1992;7.978;3291
1993;6.173;3117.6
1994;4.45;3057.3
